"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"0.1uF/50V";"0.1UF_SMD-0402_50V-10%";"CAPC1005X55_SMD-0402";"C1";"";"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_soft_en.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=445-173610-1-ND";"445-173610-1-ND";"TDK Corporation";"C1005X7R1H104K050BE";"0.1uF/50V";
"1";"MX25U1633F";"MX25U1633F";"SON50P300X200X55-9T20X160N";"U1";"";"https://www.macronix.com/Lists/Datasheet/Attachments/7761/MX25U1633F,%201.8V,%2016Mb,%20v1.2.pdf";"Digikey";"https://www.digikey.com/en/products/detail/macronix/MX25U1633FZUI/10059509?s=N4IgTCBcDaIIwAYCcYC0BZAGmArAVTgDYBmYgMQC08BJAYQBVUA5AERAF0BfIA";"1092-MX25U1633FZUICT-ND";"Macronix";"MX25U1633FZUI";"MX25U1633F";
"2";"PTH VERT MALE";"1X04_PTH_VERT_MALE_2.54MM";"HDRV4W64P254_1X4_1016X254X838B";"J1, J2";"";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=PEC04SAAN";"S1012E-04-ND";"Sullins Connector Solutions";"PEC04SAAN";"PTH VERT MALE";
